Date,Material_Filter,Forecast,RF_Pred,XGB_Pred
2025-03-08,Cement,152.27562866210937,152.45,152.10125732421875
2025-03-09,Cement,151.8810607910156,151.61875,152.14337158203125
2025-03-10,Cement,152.82639923095704,152.6125,153.04029846191406
2025-03-11,Cement,151.99323272705078,151.96875,152.01771545410156
2025-03-12,Cement,152.73986053466797,152.375,153.10472106933594
2025-03-13,Cement,151.48835296630858,151.5875,151.3892059326172
2025-03-14,Cement,151.36822662353515,151.3875,151.3489532470703
2025-03-15,Cement,151.8975036621094,151.69375,152.10125732421875
2025-03-16,Cement,152.20606079101563,152.26875,152.14337158203125
2025-03-17,Cement,152.0771957397461,152.075,152.0793914794922
2025-03-18,Cement,152.9814910888672,152.875,153.08798217773438
2025-03-19,Cement,152.04778900146485,151.95625,152.1393280029297
2025-03-20,Cement,151.4664779663086,151.54375,151.3892059326172
2025-03-21,Cement,152.0509231567383,151.7875,152.31434631347656
2025-03-22,Cement,152.23500366210936,152.36875,152.10125732421875
2025-03-23,Cement,152.22168579101563,152.3,152.14337158203125
2025-03-24,Cement,153.1185791015625,153.0875,153.149658203125
2025-03-25,Cement,152.75961608886718,152.43125,153.08798217773438
2025-03-26,Cement,151.86593017578124,152.0125,151.7193603515625
2025-03-27,Cement,151.48835296630858,151.5875,151.3892059326172
2025-03-28,Cement,152.11029815673828,151.90625,152.31434631347656
2025-03-29,Cement,152.23500366210936,152.36875,152.10125732421875
2025-03-30,Cement,151.93418579101564,151.725,152.14337158203125
2025-03-31,Cement,152.813818359375,152.58125,153.04638671875
